,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,П Р А Й С - Л И С Т ,,23.12.2014,,Цены указаны в рублях
,,,,,
,,НАИМЕНОВАНИЕ                                             ООО Дестен ПК                                  тел.+7(495) 970-00-07,Дост-ть в днях,Цена 1,Цена 2
,,001 Настольные ПК,,,
,198871,"Системный блок DESTEN eVolution p260, pentium G3220\2гб\500гб HDD\no DVD\no OS",1,"17498,88","16717,68"
,198867,"Системный блок DESTEN eVolution a010u, Celeron 1037U/2гб/500гб HDD/no DVD/no OS",1,"15052,8","14380,8"
,232491,Системный блок DESTEN eVolution i380 i3-4130/4Гб/500Гб HDD/тo ODD/no OS,1,23520,22470
,232485,Системный блок DESTEN eVolution c160u Cel. J1800/2Гб/500Гб HDD/Wi-Fi/no OS,1,"13171,2","12583,2"
,232488,Системный блок DESTEN eVolution c180 Cel. G1820/2Гб/500Гб HDD/no ODD/no OS,1,"15429,12","14740,32"
,232494,Системный блок DESTEN eVolution p280 Pent. G3240/4Гб/500Гб HDD/no ODD/no OS,1,"19380,48","18515,28"
,,Графические станции серии eXtreme,,,
,171999,Графическая станция DESTEN eXtreme 2D 300,,"21375,2","20986,56"
,172005,Графическая станция DESTEN eXtreme 3D 300E,,"25379,2","24917,76"
,172006,Графическая станция DESTEN eXtreme 3D 300H,,"120365,28",116564
,172004,Графическая станция DESTEN eXtreme 3D 300P,,39634,"38382,4"
,,002 Моноблоки ПК,,,
,203179,"Моноблок DESTEN eVolution w421 21,5"" Atom D2550/2Гб/500Гб HDD/Wi-Fi/noOS",1,"22516,48","21712,32"
,197444,"Моноблок DESTEN eVolution s415 15,6"" Atom D2700/2Гб/500Гб HDD/Wi-Fi/no OS",1,"21701,12","20926,08"
,203174,"Моноблок DESTEN eVolution w623 23"" i3-3220/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"44656,64","43061,76"
,203175,"Моноблок DESTEN eVolution w623 23"" i5-3330/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"50928,64","49109,76"
,233001,"Моноблок DESTEN eVolution i621 21,5"" i3-3220/4Гб/500Гб HDD/no ODD/Wi-Fi/no OS",1,"35123,2","33868,8"
,233003,"Моноблок DESTEN eVolution i621 21,5"" i3-3220/4Гб/500Гб HDD/no ODD/Wi-Fi/no OS",1,37632,36288
,233002,"Моноблок DESTEN eVolution i621 21,5"" i5-3330/4Гб/500Гб HDD/no ODD/Wi-Fi/no OS",1,"41144,32","39674,88"
,233004,"Моноблок DESTEN eVolution i621 21,5"" i5-3330/4Гб/500Гб HDD/no ODD/Wi-Fi/no OS",1,43904,42336
,197584,"Моноблок DESTEN eVolution e624 23,6"" i3-3220/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",0,"37067,52","35743,68"
,197613,"Моноблок DESTEN eVolution e624 23,6"" i5-3330/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",0,"43339,52","41791,68"
,197596,"Моноблок DESTEN eVolution g618 18,5"" i3-3220/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"34872,32","33626,88"
,197615,"Моноблок DESTEN eVolution g618 18,5"" i5-3330/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"41144,32","39674,88"
,197597,"Моноблок DESTEN eVolution g621 21,5"" i3-3220/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"36753,92","35441,28"
,197617,"Моноблок DESTEN eVolution g621 21,5"" i5-3330/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"43025,92","41489,28"
,197598,"Моноблок DESTEN eVolution g624 23,6"" i3-3220/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"41583,36","40098,24"
,197619,"Моноблок DESTEN eVolution g624 23,6"" i5-3330/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"47855,36","46146,24"
,197600,"Моноблок DESTEN eVolution p621 21,5"" i3-3220/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"34245,12","33022,08"
,197623,"Моноблок DESTEN eVolution p621 21,5"" i5-3330/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"40517,12","39070,08"
,203170,"Моноблок DESTEN eVolution p624 23,6"" i3-3220/2Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"37506,56","36167,04"
,203171,"Моноблок DESTEN eVolution p624 23,6"" i5-3330/2Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"43778,56","42215,04"
,205418,"Моноблок DESTEN eVolution s618 18,5"" i3-3220/2Гб/500Гб HDD//Wi-Fi/no OS",1,"38321,92","36953,28"
,205419,"Моноблок DESTEN eVolution s618 18,5"" i5-3330/2Гб/500Гб HDD//Wi-Fi/no OS",1,"44593,92","43001,28"
,203172,"Моноблок DESTEN eVolution w622 21,5"" i3-3220/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"38008,32","36650,88"
,203173,"Моноблок DESTEN eVolution w622 21,5"" i5-3330/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"44280,32","42698,88"
,203169,"Моноблок DESTEN eVolution w623 23"" Cel. G1610/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"37820,16","36469,44"
,232998,"Моноблок DESTEN eVolution i621 21,5"" Cel. G1610/2Гб/500Гб HDD/no ODD/Wi-Fi/no OS",1,"27345,92","26369,28"
,205417,"Моноблок DESTEN eVolution s618 18,5"" Cel. G1610/2Гб/500Гб HDD//Wi-Fi/no OS",1,"32049,92","30905,28"
,197437,"Моноблок DESTEN eVolution e624 23,6"" Cel. G1610/2Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",0,"28725,76","27699,84"
,197440,"Моноблок DESTEN eVolution g618 18,5"" Cel. G1610/2Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"26530,56","25583,04"
,197441,"Моноблок DESTEN eVolution g621 21,5"" Cel. G1610/2Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"25966,08","25038,72"
,197442,"Моноблок DESTEN eVolution g624 23,6"" Cel. G1610/2Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"33241,6","32054,4"
,197445,"Моноблок DESTEN eVolution p621 21,5"" Cel. G1610/2Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"25903,36","24978,24"
,203167,"Моноблок DESTEN eVolution p624 23,6"" Cel. G1610/2Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"31234,56","30119,04"
,203168,"Моноблок DESTEN eVolution w622 21,5"" Cel. G1610/4Гб/500Гб HDD/DVD+-RW/Wi-Fi/no OS",1,"31736,32","30602,88"
,,003 Защищённые ноутбуки и планшеты,,,
,234041,"Защищенный панельный ПК V350 10,4"" N2800/2Гб/64ГбSSD/Wi-Fi+BT/Без ОС",0,"127635,2","123076,8"
,234030,"Защищенный планшет CyberBook T357 7"" N2600/2Гб/64ГбSSD/Wi-Fi+BT/2xBat/Без ОС",0,167454,161252
,234027,"Защищенный планшет CyberBook T350 10,1"" N2600/2Гб/32ГбSSD/Wi-Fi+BT/2xBat/Без ОС",1,"97137,6","93668,4"
,234033,"Защищенный планшет CyberBook T360 10,1"" N2910/4Гб/64ГбSSD/Wi-Fi+BT/Без ОС",0,"147862,4","142581,6"
,234070,"Защищенный ноутбук CyberBook U882 12,1"" i3-3317U/4Гб/500Гб/Wi-Fi+BT/Без ОС",1,"131084,8","126403,2"
,234038,"Защищенный планшет CyberBook T861 11,6"" i5-4200U/4Гб/64ГбSSD/Wi-Fi+BT/Без ОС",0,"157035,2","151426,8"
,234021,"Защищенный ноутбук CyberBook S855 15,6"" T4400/2Гб/500Гб/DVDRW/Wi-Fi+BT/Без ОС",1,69510,69510
,234017,"Защищенный ноутбук CyberBook S864 14,1"" P7350/2Гб/500Гб/DVDRW/Wi-Fi+BT/Без ОС",1,73990,73990
,234018,"Защищенный ноутбук CyberBook S864 14,1"" P7550/2Гб/500Гб/DVDRW/Wi-Fi+BT/Без ОС",1,75740,75740
,234072,"Защищенный ноутбук CyberBook S874 14"" i5 3230M/4Гб/500Гб/DVDRW/Wi-Fi+BT/Без ОС",1,"104403,6","100536,8"
,234069,"Защищенный планшет CyberBook T850 10,4"" i5-3427U/4Гб/500Гб/Wi-Fi+BT/1xBAT/Без ОС",0,"174106,8","167658,4"
,234061,"Защищённый планшет DESTEN CyberBook T347 7"" Z530P/2Гб/120Гб/Wi-Fi+BT/2xBat/Без ОС",1,"136684,8","131622,4"
,234107,"Защищенный ноутбук CyberBook S885 15,6"" i5-4200M/4Гб/500Гб/DVDRW/Wi-Fi+BT/Win7Pro",1,86800,86800
,234040,"Защищенный планшет CyberBook T350 10,1"" N2600/2Гб/32ГбSSD/Wi-Fi+BT/2xBat/Без ОС",0,"160641,6","154904,4"
,234011,"Защищенный ноутбук CyberBook R853 13,3"" i7-3667U/4Гб/500Гб/DVDRW/Wi-Fi+BT/Без ОС",0,246330,"236476,8"
,234020,"Защищенный ноутбук CyberBook R973 13,3"" i7-2610UE/4Гб/320Гб/DVDRW/Wi-Fi+BT/Без ОС",0,422730,"405820,8"
,113626,"Ноутбук защищённый CyberBook S855 C2D1.8GHz/2Gb/250Gb/DVDRW/15,4""/Wi-Fi/BT/W7Pro",,0,0
,163605,"Ноутбук защищённый CyberBook S864 C2D2.0GHz/2GB/250GB/DVDRW/14,1""/Wi-Fi/BT/W7Pro",,0,0
,,004 Ультрабуки,,,
,182312,Ноутбук Ultrabook DESTEN EasyBook X354,,"33435,36","33075,84"
,187613,"Ноутбук Ultrabook DESTEN EasyBook X354 14"" i5-3317U/4Гб/120SSD/Wi-Fi+BT/Win8",0,0,0
,184841,"Ноутбук Ultrabook DESTEN EasyBook X354 14"" i5-3317U/4Гб/120SSD/Wi-Fi+BT/Без ОС",0,0,0
,184860,"Ноутбук Ultrabook DESTEN EasyBook X354 14"" i5-3317U/4Гб/120SSD/Wi-Fi+BT/Win7 HB",0,0,0
,184863,"Ноутбук Ultrabook DESTEN EasyBook X354 14"" i5-3317U/4Гб/120SSD/Wi-Fi+BT/Win7 HP",0,0,0
,184842,"Ноутбук Ultrabook DESTEN EasyBook X354 14"" i5-3317U/4Гб/240SSD/Wi-Fi+BT/Без ОС",0,0,0
